date,KORFBEV,KORWHLS,KORMCMP,KORELEC,KORCNST,KORMACH,KOROCOINF,KOEMPTOTO,KOHWRWEMP,KOWRCDURE,KOCONPRCF,KOEQUIPTE,KOWRCCNSE,KOIMPCONA
1988-10-14,0.009835531,0.0,0.022320211,0.0,0.052874528,0.0,,,,,,,,
1988-10-21,0.063403523,0.1,0.063035769,0.1,0.133017411,0.1,,,,,,,,
1988-10-28,0.060534831,0.0,0.0671629,0.0,0.123535549,0.0,,,,,,,,
1988-10-31,,,,,,,0.96154587,0.838325831,-0.265141377,,-0.265604406,,,
1988-11-04,0.097376313,0.0,0.093302554,0.1,0.105100969,0.0,,,,,,,,
1988-11-11,0.122255868,0.0,0.085505102,0.0,0.043100612,0.0,,,,,,,,
1988-11-18,0.064337191,0.0,0.035686697,0.0,0.006564998,0.0,,,,,,,,
1988-11-25,0.075975801,0.0,0.048550966,0.0,0.004096924,0.0,,,,,,,,
1988-11-30,,,,,,,0.477327875,-1.385261374,-1.032235841,,0.794706169,,,
1988-12-02,0.078304533,0.0,0.060892529,0.1,0.035736216,0.0,,,,,,,,
1988-12-09,0.079936364,0.1,0.089453653,0.1,0.111640822,0.1,,,,,,,,
1988-12-16,0.064497943,0.2,0.102531867,0.1,0.181211251,0.0,,,,,,,,
1988-12-23,0.04753735,0.2,0.100951233,0.1,0.105847346,0.1,,,,,,,,
1988-12-30,0.036956921,0.2,0.079612021,0.0,0.124663189,0.0,,,,,,,,
1988-12-31,,,,,,,0.475060276,-0.17532908,0.066454478,,0.846596795,,,
1989-01-06,-0.008634337,0.3,0.030073324,0.0,0.126417376,0.0,,,,,,,,
1989-01-13,-0.028265601,0.1,-0.004925681,0.0,-0.007747089,0.0,,,,,,,,
1989-01-20,-0.049292099,0.0,-0.023381271,0.0,-0.020997826,0.0,,,,,,,,
1989-01-27,-0.049539395,0.0,-0.027796582,0.0,-0.007341322,0.0,,,,,,,,
1989-01-31,,,,,,,0.47281412,0.576606243,-0.441947111,,0.174266672,,,
1989-02-03,-0.028707475,-0.1,0.017915568,0.1,-0.04617221,0.1,,,,,,,,
1989-02-10,0.003780894,-0.1,0.030606353,0.1,-0.045110997,0.1,,,,,,,,
1989-02-17,0.0295,0.0,0.052215589,0.1,-0.000399,0.1,,,,,,,,
1989-02-24,0.056278592,0.0,0.067483093,0.1,0.023785522,0.1,,,,,,,,
1989-02-28,,,,,,,0.470589104,0.617675166,0.064799052,,0.347624916,,,
1989-03-03,0.064297417,0.0,0.035614586,0.0,-0.008282745,0.0,,,,,,,,
1989-03-10,0.042521034,0.0,0.046038927,0.0,0.073111656,0.0,,,,,,,,
1989-03-17,0.143669337,0.1,0.102329049,0.1,0.069370992,0.1,,,,,,,,
1989-03-24,0.112832727,0.0,0.069145921,0.1,0.022693649,0.1,,,,,,,,
1989-03-31,0.226283383,0.0,0.125075188,0.1,0.045375892,0.1,0.468384931,0.706062051,0.070834281,,0.691645408,,,
1989-04-07,0.248198601,0.0,0.095707659,0.1,0.003199996,0.0,,,,,,,,
1989-04-14,0.196008962,0.0,0.014371501,0.0,-0.057354478,0.0,,,,,,,,
1989-04-21,0.162051331,-0.1,0.002604926,0.0,-0.033848835,0.0,,,,,,,,
1989-04-28,0.038564405,-0.1,-0.05045946,-0.1,0.011287897,-0.1,,,,,,,,
1989-04-30,,,,,,,0.466201311,0.509136414,-0.333176668,,0.401261645,,,
1989-05-05,-0.056482699,-0.1,-0.065854838,-0.1,-0.010461478,0.0,,,,,,,,
1989-05-12,-0.031150224,0.0,-0.032115266,0.0,0.014283139,0.0,,,,,,,,
1989-05-19,-0.054380374,0.0,-0.025135952,0.0,0.016066778,0.0,,,,,,,,
1989-05-26,-0.035494638,0.0,-0.014112643,0.0,-0.007854104,0.0,,,,,,,,
1989-05-31,,,,,,,0.464037956,0.083898604,0.484875438,,1.278971534,,,
1989-06-02,-0.02650518,0.0,-0.030673636,-0.1,-0.031311995,0.0,,,,,,,,
1989-06-09,-0.047894451,-0.1,-0.056984843,-0.1,-0.009248879,-0.1,,,,,,,,
1989-06-16,-0.035370211,0.0,-0.023955549,0.0,-0.02193467,0.0,,,,,,,,
1989-06-23,-0.03916346,0.0,-0.021661448,0.0,-0.050625598,0.0,,,,,,,,
1989-06-30,-0.043141734,-0.1,-0.023646607,0.0,-0.050434419,0.0,0.92166551,0.228145721,-0.749508133,,0.169300266,,,
1989-07-07,-0.0233,0.0,0.000871,0.0,-0.0488,0.1,,,,,,,,
1989-07-14,0.015424623,0.0,0.027786166,0.1,-0.02866587,0.1,,,,,,,,
1989-07-21,-0.008968976,0.0,0.02510305,0.0,0.009361956,0.1,,,,,,,,
1989-07-28,0.011001159,0.0,0.044811112,0.1,0.02641279,0.1,,,,,,,,
1989-07-31,,,,,,,0.913248356,0.457237433,1.314584902,,-0.084614305,,,
1989-08-04,0.018252184,0.0,0.045297801,0.1,0.012516781,0.1,,,,,,,,
1989-08-11,0.006377306,0.0,0.062265352,0.1,0.016471731,0.1,,,,,,,,
1989-08-18,-0.010818212,0.0,0.035202984,0.1,-0.031044527,0.0,,,,,,,,
1989-08-25,0.016264944,0.0,0.062586967,0.1,-0.006314989,0.1,,,,,,,,
1989-08-31,,,,,,,1.354422511,0.576649512,-1.47037943,,0.730956305,,,
1989-09-01,0.007967234,0.1,0.075062463,0.1,0.056460116,0.1,,,,,,,,
1989-09-08,-0.029801189,0.1,0.063571122,0.1,-0.004578904,0.1,,,,,,,,
1989-09-15,-0.038061587,0.0,0.050504421,0.1,0.012851584,0.1,,,,,,,,
1989-09-22,-0.055129699,0.0,0.013682283,0.1,-0.023979115,0.1,,,,,,,,
1989-09-29,-0.055708713,0.0,-0.006992354,0.0,-0.055911457,0.0,,,,,,,,
1989-09-30,,,,,,,0.892863074,-0.047041317,-0.188905285,,0.920123597,,,
1989-10-06,-0.02946735,0.0,-0.02875657,0.0,-0.047881853,0.0,,,,,,,,
1989-10-13,-0.022110478,0.0,-0.024724808,0.0,0.014211091,0.0,,,,,,,,
1989-10-20,-0.030598338,0.0,-0.053164904,-0.1,-0.005638662,0.0,,,,,,,,
1989-10-27,-0.045218813,0.0,-0.05513423,-0.1,-0.010831173,0.0,,,,,,,,
1989-10-31,,,,,,,0.884961528,0.751141055,0.364343945,,0.249480379,,,
1989-11-03,-0.055791793,-0.1,-0.052842089,0.0,-0.028408153,0.0,,,,,,,,
1989-11-10,-0.022999535,0.0,-0.011013595,0.0,0.036198726,0.0,,,,,,,,
1989-11-17,-0.027709659,0.0,-0.006881075,0.0,0.027745598,0.0,,,,,,,,
1989-11-24,-0.00837341,0.1,0.014463267,0.0,0.08244679,0.0,,,,,,,,
1989-11-30,,,,,,,0.439561147,0.359819638,-0.132208505,,0.165975142,,,
1989-12-01,0.008627576,0.1,0.012824253,0.0,0.071844927,0.0,,,,,,,,
